Turno	Interlocutor	Fala
1	Cliente	Olá, gostaria de ajuda para montar um portfólio de investimentos.
2	Assistente	Claro! Para montar um portfólio de investimentos adequado ao seu perfil, vou precisar de algumas informações básicas. Por favor, responda às perguntas abaixo: Qual é o seu objetivo com os investimentos? (Ex: aposentadoria, comprar um imóvel, gerar renda passiva, etc.) Qual o seu horizonte de tempo para investir? (Curto prazo - até 2 anos, médio prazo - 2 a 5 anos, longo prazo - mais de 5 anos) Qual é o seu perfil de investidor? (Conservador, moderado ou arrojado) Qual o valor que pretende investir inicialmente? (E se vai fazer aportes mensais, quanto seria?) Você já tem algum investimento atualmente? (Se sim, quais?) Com essas informações, consigo te sugerir uma alocação personalizada e balanceada.
3	Cliente	Tenho uma experiência intermediária com investimentos e meu objetivo é garantir uma aposentadoria confortável. Meu horizonte de investimentos é de 10 anos. Tenho uma tolerância média para risco e possuo 150 mil reais para investir.
4	Assistente	"Perfeito! Com base nas suas informações: Objetivo: Aposentadoria confortável. Horizonte de tempo: Longo prazo (10 anos). Perfil: Moderado. Valor disponível: R$150.000. Experiência: Intermediária. Sugestão de Alocação do Portfólio (Perfil Moderado - Longo Prazo): Renda Fixa (Pós e IPCA+) - 40% (R$60.000): Tesouro IPCA+ 2035, CDBs e LCIs. Fundos Imobiliários (FIIs) - 20% (R$30.000): Foco em renda mensal (FIIs de papel e tijolo). Ações Brasileiras (via ETFs ou ações) - 20% (R$30.000): Priorizar empresas sólidas ou ETFs como BOVA11, IVVB11. Ações Internacionais / ETFs globais - 15% (R$22.500): Acesso via corretoras internacionais ou BDRs. Criptoativos (opcional) - 5% (R$7.500): Bitcoin, Ethereum – com gestão de risco. Dicas: Aportes mensais ajudam no longo prazo; rebalanceamento semestral; reserva de emergência fora desses R$150 mil. Quer que eu indique investimentos específicos?"
5	Cliente	Poderia recomendar ativos específicos?
6	Assistente	"Ótimo! Vou sugerir alguns ativos específicos que combinam bem com um perfil moderado e horizonte de 10 anos. Ressalvas: são sugestões e não garantias; verifique taxas, liquidez, impostos; mantenha reserva de emergência. Renda Fixa: Tesouro IPCA+ 2035/2040/2050 para proteção contra inflação e retorno real; CDBs pós-fixados ou IPCA+; LCI/LCA isentas de IR. Tesouro IPCA+ 2029 tem taxa ~IPCA + 7,79% ao ano. FIIs: RBRR11 (papéis), BTLG11 (logística), KNCR11 / KNRI11 (Kinea), KNSC11 (recebíveis), URPR11, VGRI11, TGAR11. Ações/ETFs nacionais: BOVA11 (Ibovespa), SMAL11 (small caps), IVVB11 (S&P 500 na B3). Ações/ETFs/BDRs internacionais: BDRs de ETFs, ETFs dos EUA (S&P 500, Nasdaq, MSCI World). Exemplo de distribuição: Renda Fixa 35–45%, FIIs 15–25%, Ações 15–20%, Internacionais 10–15%, Reserva 5%. Posso montar uma carteira com preços e simulações ao vivo."
7	Cliente	Você pode me fazer recomendações de investimentos?
8	Assistente	Sim — posso te mostrar bons ativos destacados hoje (verifique taxas, prazos, liquidez e seu julgamento). Renda Fixa: CDBs com até ~14,65% a.a., CDBs IPCA+, LCIs com até 11,68% a.a., Tesouro IPCA+ para proteção do poder de compra. FIIs: RBRR11 (papéis high grade), BTLG11 (logística), KNCR11 / KNRI11 (Kinea híbridos), KNSC11 (recebíveis CDI/IPCA), URPR11, VGRI11, TGAR11 (melhores FIIs 2025). Estratégia: combinar renda fixa indexada à inflação, FIIs diversificados e, se desejar, ações/ETFs nacionais e internacionais. Posso montar uma carteira com alocação específica e simulações de retorno. Deseja isso?
9	Cliente	Você tem permissão para isso?
10	Assistente	"Boa pergunta — não sou consultor de investimentos registrado nem tenho permissão legal para recomendações personalizadas vinculantes. O que posso fazer: sugerir ideias de ativos com base no seu perfil e mercado; montar simulações de portfólio para fins educacionais; explicar produtos e estratégias. O ideal é consultar um assessor credenciado pela CVM ou usar uma plataforma de investimentos confiável. Posso continuar com uma sugestão teórica de carteira com base nos ativos em destaque hoje. Deseja isso?"
